id,title,url,price,email,location,date,housing,result,emailsent,sender_race,sender_social_status,sender_name,sender_job,sender_email
4955780026,Water Included!,http://cleveland.craigslist.org/apa/4955780026.html,$700,njblack10584@aol.com,(Garfield Heights),3/30/2015 10:53:00,/ 3br - 1000ft,Success,2015-03-31 00:08:00.391870,black,high,Jamal Jones,a lawyer,jamal.jones7623@gmail.com
4955650429,CANTERBURY COURT OFFERS ONE & TWO BEDROOM APARTMENTS!,http://cleveland.craigslist.org/apa/4955650429.html,$530,njblack10584@aol.com,(CLEVELAND),3/30/2015 9:27:00,/ 1br -,Success,2015-03-31 00:08:02.468805,black,high,Jamal Jones,an IT manager,jamal.jones7623@gmail.com
4955662087,Furnished Suite/STL* Available,http://cleveland.craigslist.org/apa/4955662087.html,$799,njblack10584@aol.com,(Mill Stream Run Apts.),3/30/2015 9:48:00,/ 1br -,Success,2015-03-31 00:08:04.545401,black,high,Jamal Jones,a dentist,jamal.jones7623@gmail.com
4955699056,Broadview Gardens 1 & 2 Bedroom Apts,http://cleveland.craigslist.org/apa/4955699056.html,$550,njblack10584@aol.com,(Old Brooklyn (Brookpark & Broadview)),3/30/2015 10:03:00,/ 2br - 600ft,Success,2015-03-31 00:08:06.639342,black,high,Jamal Jones,a financial manager,jamal.jones7623@gmail.com
4953355250,Rent to Own Like-New 4bed/2ba House,http://cleveland.craigslist.org/apa/4953355250.html,"$1,150",njblack10584@aol.com,(Berea),3/30/2015 15:04:00,/ 4br - 1750ft,Success,2015-03-31 00:08:08.625423,black,high,Jamal Jones,a physician,jamal.jones7623@gmail.com
4949277053,4 bedroom/2 bathrooms recently painted,http://cleveland.craigslist.org/apa/4949277053.html,$925,njblack10584@aol.com,(Cleveland),3/30/2015 9:35:00,/ 4br - 1526ft,Success,2015-03-31 00:08:10.761995,black,high,Jamal Jones,a dentist,jamal.jones7623@gmail.com
4955400251,Well maintained place awesome for hosting guests!,http://cleveland.craigslist.org/apa/4955400251.html,$625,njblack10584@aol.com,(Euclid),3/30/2015 1:34:00,/ 2br - 1125ft,Success,2015-03-31 00:08:12.763454,black,high,Jamal Jones,a data scientist,jamal.jones7623@gmail.com
4955697331,Renting Beautiful 1 bed 1.5 bath Home Right Away,http://cleveland.craigslist.org/apa/4955697331.html,$550,njblack10584@aol.com,(Parma),3/30/2015 11:43:00,/ 1br - 975ft,Success,2015-03-31 00:08:14.878547,black,high,Jamal Jones,a dentist,jamal.jones7623@gmail.com
4948799051,Beautiful Custom Built Home w In Law Suite,http://cleveland.craigslist.org/apa/4948799051.html,"$1,995",njblack10584@aol.com,(Mt. Vernon),3/30/2015 10:39:00,/ 5br - 2400ft,Success,2015-03-31 00:08:17.083876,black,high,Jamal Jones,a data scientist,jamal.jones7623@gmail.com
4919693961,STUNNING STONEBRIDGE CONDO FOR RENT,http://cleveland.craigslist.org/apa/4919693961.html,"$1,600",njblack10584@aol.com,(downtown cleveland),3/30/2015 9:13:00,/ 2br - 1200ft,Success,2015-03-31 00:08:19.318922,black,high,Jamal Jones,a financial manager,jamal.jones7623@gmail.com
