title,url,price,email,posting_id,location,date,housing
2 Bedroom Split Perfect For Roomates,http://cleveland.craigslist.org/apa/4929166758.html,$720,,4929166758,,2015-03-30 17:06,/ 2br - 
WELCOME HOME!!!!,http://cleveland.craigslist.org/apa/4956386673.html,$680,wn2tw-4956386673@hous.craigslist.org,4956386673,,2015-03-30 16:47,/ 2br - 
Special $599 Move you in (Sec. Dep. + First month rent = $599),http://cleveland.craigslist.org/apa/4917106914.html,$500,khhz5-4917106914@hous.craigslist.org,4917106914, (LAKEWOOD),2015-03-30 16:47,/ 1br - 
Special $599 Move you in (Sec. Dep. + First month rent = $599),http://cleveland.craigslist.org/apa/4917105678.html,$475,gbfkp-4917105678@hous.craigslist.org,4917105678, (Lakewood),2015-03-30 16:48,/ 1br - 
$920 ATTACHED GARAGE,http://cleveland.craigslist.org/apa/4956416918.html,$920,fvsf3-4956416918@hous.craigslist.org,4956416918, (Brunswick),2015-03-30 16:48,/ 2br - 1200ft
4BR 2.5BA in Walden,http://cleveland.craigslist.org/apa/4956440171.html,$2300,rphqh-4956440171@hous.craigslist.org,4956440171, (Aurora),2015-03-30 16:49,/ 3br - 2600ft
!!Nice 1 Bedroom Suite Available/ $199 Deposit & No App Fee!!,http://cleveland.craigslist.org/apa/4956436118.html,$530,,4956436118,,2015-03-30 16:52,/ 1br - 523ft
Suite spot! Available now!,http://cleveland.craigslist.org/apa/4956460446.html,$745,qcdzj-4956460446@hous.craigslist.org,4956460446," (Mayfield, Lyndhurst, Gates Mills)",2015-03-30 16:56,/ 1br - 850ft
1 bedroom down stairs Lake County,http://cleveland.craigslist.org/apa/4945014894.html,$525,pkhmf-4945014894@hous.craigslist.org,4945014894, (422 fifth street),2015-03-30 16:56,/ 1br - 
Don't Wait! Won't Last Long! Renovated Suite at a Great Price!,http://cleveland.craigslist.org/apa/4956397366.html,$755,,4956397366," (Willoughby Hills, Mentor, Willoughby)",2015-03-30 16:57,/ 1br - 700ft
Cleveland Hts - Spacious & Inviting 3 bedroom Home w/ central air!,http://cleveland.craigslist.org/apa/4956465198.html,$975,ggpjm-4956465198@hous.craigslist.org,4956465198," (1419 Ardoon, Cleveland Heights, OH)",2015-03-30 16:59,/ 3br - 1100ft
Less than perfect credit is OK. Fancy 3 bedroom home with Vast basemen,http://cleveland.craigslist.org/apa/4919413156.html,$1020,hwbkn-4919413156@hous.craigslist.org,4919413156, (University Circle),2015-03-30 16:59,/ 3br - 1378ft
Watch the city come back to life after winter from Lake Park Tower,http://cleveland.craigslist.org/apa/4917078237.html,$900,,4917078237, (13855 Superior rd),2015-03-30 17:06,/ 3br - 
Indian Hills Development/ EUCLID,http://cleveland.craigslist.org/apa/4951429126.html,$950,,4951429126, (Euclid),2015-03-30 16:27,/ 4br - 
House off Lakeshore! Must See!,http://cleveland.craigslist.org/apa/4950069510.html,$975,,4950069510," (Euclid, OH 216th)",2015-03-30 16:28,/ 4br - 
1 & 2 Bed READY NOW!!!!,http://cleveland.craigslist.org/apa/4956339001.html,$725,,4956339001, (LOGANBERRY),2015-03-30 16:28,/ 2br - 850ft
Great apartments for rent!,http://cleveland.craigslist.org/apa/4939403177.html,$479,pjxh8-4939403177@hous.craigslist.org,4939403177,,2015-03-30 12:45,/ 1br - 600ft
442 Bell,http://cleveland.craigslist.org/apa/4927719026.html,$945,fntjw-4927719026@hous.craigslist.org,4927719026, (elyria),2015-03-30 12:45,/ 3br - 2700ft
Spacious 1Br. Pay No App Fee & $199 Deposit,http://cleveland.craigslist.org/apa/4955978876.html,$563,,4955978876,,2015-03-30 12:45,/ 1br - 723ft
FULLY REMODELED SINGLE FAMILY HOME IN PRESTIGIOUS CLEVELAND HEIGHTS,http://cleveland.craigslist.org/apa/4955994598.html,$1395,joshlovinger@gmail.com,4955994598, (3328 Meadowbrook Rd),2015-03-30 12:46,/ 3br - 
Affordable Comfortable 1 Bedroom Appartment,http://cleveland.craigslist.org/apa/4940874969.html,$590,Prosperity_properties@yahoo.com,4940874969, (Painesville),2015-03-30 12:49,/ 1br - 
June 1st Cleve. Hts CWRU students walk to school in 15-20 minutes,http://cleveland.craigslist.org/apa/4956000858.html,$1750,bgreenberg@sbcglobal.net,4956000858, (2258 grandview),2015-03-30 12:49,/ 5br - 1800ft
1 Bdrm Coming Avail-AttacheBuilding-Free Heat!!!!,http://cleveland.craigslist.org/apa/4955951858.html,$525,fffqd-4955951858@hous.craigslist.org,4955951858," (Attache 17525 Madison Ave Lakewood, Oh)",2015-03-30 12:50,/ 1br - 550ft
HOUSE FOR RENT,http://cleveland.craigslist.org/apa/4955871747.html,$900,h3k3m-4955871747@hous.craigslist.org,4955871747, (CLEVELAND),2015-03-30 12:52,/ 5br - 
A Great One Bedroom,http://cleveland.craigslist.org/apa/4928478699.html,$609,qjgrh-4928478699@hous.craigslist.org,4928478699, (Berea),2015-03-30 12:54,/ 1br - 576ft
Large 2 Bedroom Available Now!!,http://cleveland.craigslist.org/apa/4956005476.html,$764,,4956005476,,2015-03-30 12:56,/ 2br - 1458ft
Garfield Heights nice schools 3bd 2bth up-to-date Tar,http://cleveland.craigslist.org/apa/4949645690.html,$965,2ht6g-4949645690@hous.craigslist.org,4949645690, (Garfield Heights),2015-03-30 12:56,/ 5br - 1686ft
Berea 3-4 bd 1.5 ba PET FRIENDLY,http://cleveland.craigslist.org/apa/4956018725.html,$800,s38xn-4956018725@hous.craigslist.org,4956018725, (Berea),2015-03-30 12:58,/ 4br - 1400ft
Live in a two bedroom two bathroom Loft!,http://cleveland.craigslist.org/apa/4955988483.html,$860,xn8gn-4955988483@hous.craigslist.org,4955988483, (cleveland west side),2015-03-30 12:59,/ 2br - 
1 Bdrm Avail Lakewood Club Ask About our New Move in Special!!!!,http://cleveland.craigslist.org/apa/4955981751.html,$525,rb2pr-4955981751@hous.craigslist.org,4955981751, (Lakewood Club 1336 Hird Ave),2015-03-30 13:03,/ 1br - 550ft
"Studio,Furnished, 1.9 Miles to CASE,Cleveland Clinic, UH, $750",http://cleveland.craigslist.org/apa/4945641408.html,$750,ctfwn-4945641408@hous.craigslist.org,4945641408, (Cleveland/Larchmere),2015-03-30 11:10,/ 1br - 700ft
University Heights Near hospitals Wrenford Hall,http://cleveland.craigslist.org/apa/4924456027.html,$750,qk9jq-4924456027@hous.craigslist.org,4924456027," (14250 Cedar Rd., University Hts.)",2015-03-30 11:10,/ 2br - 1032ft
